Province,Year,Quarter,Crop,AFF GDP Q_n-1,AFF GDP Q_n-2,NINO3.4 SST Q_n-1,NINO3.4 SST Q_n-2,Area Harvested Q_n,Area Harvested Q_n-1,Area Harvested Q_n-2,PALAY YIELD Q_n
Abra,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,140.0,3210.0,240.0,131.0
Abra,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,5030.0,140.0,3210.0,9106.0
Benguet,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,1300.0,910.0,70.0,1969.0
Benguet,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,1040.0,1300.0,910.0,1762.0
Ifugao,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,960.0,5110.0,910.0,2287.0
Ifugao,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,2760.0,960.0,5110.0,8922.0
Kalinga,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,1850.0,9040.0,1590.0,4746.0
Kalinga,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,13040.0,1850.0,9040.0,45124.0
Mountain Province,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,2880.0,2780.0,310.0,5103.0
Mountain Province,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,1480.0,2880.0,2780.0,2522.0
Ilocos Norte,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,680.0,3050.0,4890.0,1430.0
Ilocos Norte,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,17530.0,680.0,3050.0,36046.0
Ilocos Sur,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,350.0,110.0,2900.0,539.0
Ilocos Sur,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,11650.0,350.0,110.0,27755.0
La Union,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,80.0,4450.0,3230.0,192.0
La Union,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,8190.0,80.0,4450.0,21664.0
Pangasinan,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,1110.0,8040.0,24640.0,2263.0
Pangasinan,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,78260.0,1110.0,8040.0,232951.0
Cagayan,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,5880.0,12550.0,21730.0,18239.0
Cagayan,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,22150.0,5880.0,12550.0,55779.0
Isabela,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,10170.0,25280.0,58130.0,33028.0
Isabela,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,69880.0,10170.0,25280.0,261722.0
Nueva Vizcaya,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,7060.0,7030.0,8550.0,23684.0
Nueva Vizcaya,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,6740.0,7060.0,7030.0,22046.0
Quirino,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,910.0,2750.0,3040.0,2197.0
Quirino,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,3920.0,910.0,2750.0,11730.0
Aurora,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,1080.0,3660.0,1920.0,2543.0
Aurora,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,2560.0,1080.0,3660.0,5587.0
Bulacan,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,1830.0,5890.0,23430.0,5434.0
Bulacan,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,25660.0,1830.0,5890.0,94820.0
Nueva Ecija,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,290.0,65500.0,7490.0,920.0
Nueva Ecija,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,88610.0,290.0,65500.0,289307.0
Pampanga,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,330.0,6840.0,20680.0,907.0
Pampanga,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,17910.0,330.0,6840.0,61215.0
Tarlac,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,9850.0,3630.0,13400.0,25287.0
Tarlac,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,43440.0,9850.0,3630.0,108756.0
Batangas,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,850.0,3090.0,1150.0,1536.0
Batangas,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,6570.0,850.0,3090.0,12002.0
Cavite,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,900.0,650.0,3710.0,2053.0
Cavite,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,7310.0,900.0,650.0,21139.0
Laguna,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,3040.0,6080.0,11110.0,8411.0
Laguna,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,13830.0,3040.0,6080.0,39894.0
Quezon,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,2030.0,5840.0,6130.0,7933.0
Quezon,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,12790.0,2030.0,5840.0,39669.0
