Province,Year,Quarter,Crop,AFF GDP Q_n-1,AFF GDP Q_n-2,AFF GDP Q_n-3,AFF GDP Q_n-4,NINO3.4 SST Q_n-1,NINO3.4 SST Q_n-2,NINO3.4 SST Q_n-3,NINO3.4 SST Q_n-4,Area Harvested Q_n,Area Harvested Q_n-1,Area Harvested Q_n-2,Area Harvested Q_n-3,Area Harvested Q_n-4,PALAY YIELD Q_n
Abra,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,820.0,5030.0,140.0,3210.0,240.0,1379.0
Abra,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,2610.0,820.0,5030.0,140.0,3210.0,5630.0
Abra,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,640.0,2610.0,820.0,5030.0,140.0,1005.0
Abra,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,4050.0,640.0,2610.0,820.0,5030.0,8250.0
Benguet,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,140.0,1040.0,1300.0,910.0,70.0,170.0
Benguet,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,1160.0,140.0,1040.0,1300.0,910.0,1730.0
Benguet,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,1090.0,1160.0,140.0,1040.0,1300.0,1722.0
Benguet,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,1190.0,1090.0,1160.0,140.0,1040.0,2067.0
Ifugao,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,2490.0,2760.0,960.0,5110.0,910.0,9220.0
Ifugao,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,3300.0,2490.0,2760.0,960.0,5110.0,6904.0
Ifugao,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,870.0,3300.0,2490.0,2760.0,960.0,2514.0
Ifugao,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,2360.0,870.0,3300.0,2490.0,2760.0,8354.0
Kalinga,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,4480.0,13040.0,1850.0,9040.0,1590.0,11956.0
Kalinga,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,10600.0,4480.0,13040.0,1850.0,9040.0,38238.0
Kalinga,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,3050.0,10600.0,4480.0,13040.0,1850.0,8967.0
Kalinga,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,10250.0,3050.0,10600.0,4480.0,13040.0,33910.0
Mountain Province,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,1360.0,1480.0,2880.0,2780.0,310.0,2668.0
Mountain Province,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,2430.0,1360.0,1480.0,2880.0,2780.0,4720.0
Mountain Province,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,3230.0,2430.0,1360.0,1480.0,2880.0,5899.0
