Province,Year,Quarter,Crop,AFF GDP Q_n-1,AFF GDP Q_n-2,AFF GDP Q_n-3,AFF GDP Q_n-4,AFF GDP Q_n-5,AFF GDP Q_n-6,NINO3.4 SST Q_n-1,NINO3.4 SST Q_n-2,NINO3.4 SST Q_n-3,NINO3.4 SST Q_n-4,NINO3.4 SST Q_n-5,NINO3.4 SST Q_n-6,Area Harvested Q_n,Area Harvested Q_n-1,Area Harvested Q_n-2,Area Harvested Q_n-3,Area Harvested Q_n-4,Area Harvested Q_n-5,Area Harvested Q_n-6,PALAY YIELD Q_n
Abra,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,42938.7,39782.8,26.61,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,640.0,2610.0,820.0,5030.0,140.0,3210.0,240.0,1005.0
Abra,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,32527.7,42938.7,25.623333333333335,26.61,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,4050.0,640.0,2610.0,820.0,5030.0,140.0,3210.0,8250.0
Abra,1989,1,Irrigated Palay,52976.1,39183.9,48545.2,42356.2,48597.8,32527.7,24.663333333333338,25.623333333333335,26.61,27.156666666666666,27.606666666666666,28.173333333333332,1320.0,4050.0,640.0,2610.0,820.0,5030.0,140.0,2416.0
Abra,1989,2,Irrigated Palay,48914.0,52976.1,39183.9,48545.2,42356.2,48597.8,25.206666666666667,24.663333333333338,25.623333333333335,26.61,27.156666666666666,27.606666666666666,2570.0,1320.0,4050.0,640.0,2610.0,820.0,5030.0,5738.0
Abra,1989,3,Irrigated Palay,51913.1,48914.0,52976.1,39183.9,48545.2,42356.2,26.836666666666662,25.206666666666667,24.663333333333338,25.623333333333335,26.61,27.156666666666666,750.0,2570.0,1320.0,4050.0,640.0,2610.0,820.0,1199.0
Abra,1989,4,Irrigated Palay,48903.4,51913.1,48914.0,52976.1,39183.9,48545.2,26.386666666666667,26.836666666666662,25.206666666666667,24.663333333333338,25.623333333333335,26.61,4080.0,750.0,2570.0,1320.0,4050.0,640.0,2610.0,8070.0
Abra,1990,1,Irrigated Palay,59752.8,48903.4,51913.1,48914.0,52976.1,39183.9,26.290000000000003,26.386666666666667,26.836666666666662,25.206666666666667,24.663333333333338,25.623333333333335,1020.0,4080.0,750.0,2570.0,1320.0,4050.0,640.0,1711.0
Abra,1990,2,Irrigated Palay,57509.0,59752.8,48903.4,51913.1,48914.0,52976.1,26.746666666666666,26.290000000000003,26.386666666666667,26.836666666666662,25.206666666666667,24.663333333333338,2900.0,1020.0,4080.0,750.0,2570.0,1320.0,4050.0,5935.0
Abra,1990,3,Irrigated Palay,56557.5,57509.0,59752.8,48903.4,51913.1,48914.0,27.7,26.746666666666666,26.290000000000003,26.386666666666667,26.836666666666662,25.206666666666667,810.0,2900.0,1020.0,4080.0,750.0,2570.0,1320.0,1134.0
Abra,1990,4,Irrigated Palay,53027.8,56557.5,57509.0,59752.8,48903.4,51913.1,26.996666666666666,27.7,26.746666666666666,26.290000000000003,26.386666666666667,26.836666666666662,4080.0,810.0,2900.0,1020.0,4080.0,750.0,2570.0,7270.0
